#
#   Spectrum of the blue flame from a butane torch showing excited molecular radical band emission and Swan bands.
#   Wikipedia User:Eli Rabett
#   Ocean Optics HR2000 spectrometer
#
#   the division between CH and C2 (Swan bands) is about 433 nm
#
#   File talk:Spectrum of blue flame - intensity corrected.png
#   January 2007
#   https://en.wikipedia.org/wiki/File_talk:Spectrum_of_blue_flame_-_intensity_corrected.png

wavelength,irradiance
629.81,0.014
630.26,0.015
630.7,0.014
631.15,0.014
631.6,0.014
632.05,0.014
632.49,0.017
632.94,0.014
633.39,0.015
633.84,0.015
634.28,0.016
634.73,0.016
635.18,0.015
635.63,0.014
636.07,0.016
636.52,0.014
636.97,0.019
637.41,0.016
637.86,0.014
638.31,0.015
638.76,0.018
639.2,0.017
639.65,0.017
640.1,0.014
640.54,0.016
640.99,0.017
641.44,0.017
641.89,0.015
642.33,0.017
642.78,0.016
643.23,0.016
643.67,0.017
644.12,0.015
644.57,0.017
645.01,0.016
645.46,0.015
645.91,0.016
646.35,0.017
646.8,0.016
647.25,0.016
647.69,0.018
648.14,0.018
648.59,0.016
649.03,0.015
649.48,0.015
649.92,0.016
650.37,0.015
650.82,0.015
651.26,0.018
651.71,0.016
652.16,0.017
652.6,0.016
653.05,0.016
653.5,0.016
653.94,0.015
654.39,0.015
654.83,0.016
655.28,0.016
655.73,0.015
656.17,0.014
656.62,0.015
657.06,0.016
657.51,0.015
657.96,0.015
658.4,0.015
658.85,0.016
659.29,0.016
659.74,0.016
660.19,0.017
660.63,0.015
661.08,0.013
661.52,0.015
661.97,0.014
662.41,0.015
662.86,0.015
663.31,0.016
663.75,0.016
664.2,0.013
664.64,0.015
665.09,0.013
665.53,0.014
665.98,0.014
666.42,0.014
666.87,0.014
667.31,0.014
667.76,0.014
668.21,0.013
668.65,0.015
669.1,0.015
669.54,0.013
669.99,0.015
670.43,0.013
670.88,0.012
671.32,0.018
671.77,0.014
672.21,0.013
672.66,0.019
673.1,0.013
673.55,0.01
673.99,0.012
674.44,0.013
674.88,0.014
675.33,0.016
675.77,0.017
676.22,0.014
676.66,0.016
677.11,0.013
677.55,0.013
678,0.012
678.44,0.013
678.88,0.012
679.33,0.012
679.77,0.011
680.22,0.013
680.66,0.012
681.11,0.013
681.55,0.011
682,0.012
682.44,0.011
682.89,0.013
683.33,0.012
683.77,0.011
684.22,0.011
684.66,0.01
685.11,0.015
685.55,0.014
686,0.013
686.44,0.013
686.88,0.012
687.33,0.012
687.77,0.012
688.22,0.014
688.66,0.012
689.1,0.012
689.55,0.01
689.99,0.013
690.44,0.01
690.88,0.012
691.32,0.012
691.77,0.014
692.21,0.012
692.66,0.013
693.1,0.012
693.54,0.013
693.99,0.014
694.43,0.012
694.87,0.014
695.32,0.011
695.76,0.01
696.21,0.011
696.65,0.012
697.09,0.012
697.54,0.011
697.98,0.012
698.42,0.012
698.87,0.013
699.31,0.014
699.75,0.011
700.2,0.013
700.64,0.013
701.08,0.012
701.53,0.013
701.97,0.015
702.41,0.011
702.86,0.013
703.3,0.014
703.74,0.012
704.19,0.012
704.63,0.012
705.07,0.013
705.52,0.013
705.96,0.01
706.4,0.011
706.84,0.013
707.29,0.012
707.73,0.014
708.17,0.011
708.62,0.012
709.06,0.014
709.5,0.012
709.94,0.011
710.39,0.012
710.83,0.011
711.27,0.013
711.72,0.012
712.16,0.011
712.6,0.012
713.04,0.011
713.49,0.013
713.93,0.013
714.37,0.013
714.81,0.01
715.26,0.011
715.7,0.012
716.14,0.013
716.58,0.015
717.03,0.018
717.47,0.016
717.91,0.018
718.35,0.013
718.79,0.013
719.24,0.014
719.68,0.014
720.12,0.015
720.56,0.016
721.01,0.014
721.45,0.011
721.89,0.01
722.33,0.012
722.77,0.013
723.22,0.013
723.66,0.014
724.1,0.012
724.54,0.016
724.98,0.015
725.43,0.016
725.87,0.014
726.31,0.012
726.75,0.012
727.19,0.012
727.63,0.012
728.08,0.016
728.52,0.015
728.96,0.013
729.4,0.014
729.84,0.015
730.28,0.014
730.73,0.014
731.17,0.014
731.61,0.014
732.05,0.011
732.49,0.015
732.93,0.014
733.37,0.012
733.82,0.015
734.26,0.015
734.7,0.014
735.14,0.013
735.58,0.013
736.02,0.018
736.46,0.015
736.9,0.014
737.34,0.015
737.79,0.017
738.23,0.013
738.67,0.015
739.11,0.013
739.55,0.011
739.99,0.015
740.43,0.018
740.87,0.014
741.31,0.015
741.75,0.014
742.2,0.013
742.64,0.013
743.08,0.014
743.52,0.014
743.96,0.015
744.4,0.012
744.84,0.012
745.28,0.011
745.72,0.012
746.16,0.013
746.6,0.013
747.04,0.012
747.48,0.009
747.92,0.009
748.36,0.012
748.8,0.012
749.24,0.014
749.69,0.014
